Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 17,2/1/2021,Betis,1,5,0,0,Sevilla,1,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Benito Villamarin,"Seville, Spain",
Round 17,2/1/2021,Getafe,0,3,0,0,Real Valladolid,1,2,0,0,Isidro Diaz de Mera Escuderos,6.35,0.35,Coliseum Alfonso Pérez,"Getafe, Spain",
Round 17,2/1/2021,Real Madrid,2,4,0,0,Celta,0,2,0,0,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio Alfredo di Stefano,"Madrid, Spain",
Round 17,3/1/2021,Athletic Club,1,2,0,0,Elche,0,1,0,0,Mario Melero Lopez,5.55,0.21,San Mamés,"Bilbao, Spain",
Round 17,3/1/2021,Alavés,1,0,1,0,Atl. Madrid,2,2,0,0,Juan Martinez Munuera,4.9,0.19,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",
Round 17,3/1/2021,Eibar,2,2,0,0,Granada,0,1,0,0,Antonio Mateu Lahoz,5.18,0.22,Ipurua Municipal Stadium,"Eibar, Spain",
Round 17,3/1/2021,Real Sociedad,1,1,0,0,Osasuna,1,1,0,0,Valentin Pizarro Gomez,5.04,0.33,Reale Arena,"San Sebastian, Spain",
Round 17,3/1/2021,Huesca,0,1,0,0,Barcelona,1,0,0,0,Guillermo Cuadra Fernandez,5.03,0.27,El Alcoraz,"Huesca, Spain",
Round 17,4/1/2021,Valencia,1,2,0,0,Cádiz,1,2,0,0,David Medie Jimenez,4.94,0.31,Mestalla,"Valencia, Spain",
Round 16,29/12/20,Sevilla,2,1,0,0,Villarreal,0,4,0,0,Cesar Soto Grado,5.5,0.2,Ramón Sánchez Pizjuán,"Seville, Spain",
Round 16,29/12/20,Barcelona,1,0,0,0,Eibar,1,2,0,0,Javier Alberola Rojas,3.7,0.15,Spotify Camp Nou,"Barcelona, Spain",
Round 16,29/12/20,Cádiz,0,3,0,0,Real Valladolid,0,2,0,0,Alejandro Hernandez,5.51,0.27,Estadio Ramon de Carranza,"Cadiz, Spain",
Round 16,29/12/20,Levante,4,3,1,0,Betis,3,2,0,0,Javier Estrada Fernandez,5.38,0.25,Ciudad de Valencia,"Valencia, Spain",
Round 16,30/12/20,Granada,2,4,1,0,Valencia,1,3,1,1,Adrian Cordero Vega,5.32,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",
Round 16,30/12/20,Atl. Madrid,1,2,0,0,Getafe,0,3,0,0,Jesus Gil Manzano,5.27,0.26,Cívitas Metropolitano,"Madrid, Spain",
Round 16,30/12/20,Celta,2,2,0,0,Huesca,1,0,0,0,José Luis Munuera Montero,4.75,0.37,Municipal de Balaidos,"Vigo, Spain",
Round 16,30/12/20,Elche,1,1,0,0,Real Madrid,1,4,0,0,Jorge Figueroa Vazquez,4.82,0.36,Estadio Martínez Valero,"Elche, Spain",
Round 16,31/12/20,Athletic Club,0,5,0,0,Real Sociedad,1,4,0,0,Jose Maria Sanchez Martinez,5.75,0.27,San Mamés,"Bilbao, Spain",
Round 16,31/12/20,Osasuna,1,3,1,0,Alavés,1,4,0,0,Santiago Jaime Latre,5.58,0.22,Estadio El Sadar,"Pamplona, Spain",
Round 15,22/12/20,Elche,2,1,0,0,Osasuna,2,1,0,1,Ricardo De Burgos Bengoetxea,4.95,0.17,Estadio Martínez Valero,"Elche, Spain",
