Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 21,25/01/16,Levante,3,3,0,1,Las Palmas,2,4,0,0,Carlos Velasco Carballo,5.42,0.29,Ciudad de Valencia,"Valencia, Spain",13155
Round 20,16/01/16,Sevilla,2,3,0,1,Málaga,1,2,0,1,Javier Estrada Fernandez,5.38,0.25,Ramón Sánchez Pizjuán,"Seville, Spain",34371
Round 20,16/01/16,Celta,4,1,0,0,Levante,3,3,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",16943
Round 20,16/01/16,Villarreal,0,2,0,0,Betis,0,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de la Ceramica,"Villarreal, Spain",16405
Round 20,16/01/16,Real Sociedad,1,1,0,0,Deportivo,1,3,0,0,Juan Martinez Munuera,4.9,0.19,Reale Arena,"San Sebastian, Spain",16783
Round 20,17/01/16,Valencia,2,1,0,0,Rayo Vallecano,2,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Mestalla,"Valencia, Spain",35024
Round 20,17/01/16,Real Madrid,5,1,0,0,Sporting,1,1,0,0,Alberto Undiano,4.53,0.14,Santiago Bernabéu,"Madrid, Spain",70356
Round 20,17/01/16,Getafe,3,2,0,0,Espanyol,1,2,0,0,Carlos Clos Gomez,5.33,0.3,Coliseum Alfonso Pérez,"Getafe, Spain",6540
Round 20,17/01/16,Las Palmas,0,0,0,0,Atl. Madrid,3,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Gran Canaria,"Las Palmas de Gran Canaria, Spain",28515
Round 20,17/01/16,Barcelona,6,2,0,0,Athletic Club,0,2,1,0,Antonio Mateu Lahoz,5.18,0.22,Spotify Camp Nou,"Barcelona, Spain",68019
Round 20,18/01/16,Eibar,5,1,0,0,Granada,1,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Ipurua Municipal Stadium,"Eibar, Spain",4215
Round 19,9/1/2016,Barcelona,4,1,0,0,Granada,0,2,0,0,Carlos Velasco Carballo,5.42,0.29,Spotify Camp Nou,"Barcelona, Spain",70720
Round 19,9/1/2016,Getafe,1,1,0,0,Betis,0,2,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",6949
Round 19,9/1/2016,Sevilla,2,2,0,0,Athletic Club,0,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ramón Sánchez Pizjuán,"Seville, Spain",35388
Round 19,9/1/2016,Real Madrid,5,0,0,0,Deportivo,0,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Santiago Bernabéu,"Madrid, Spain",71607
Round 19,9/1/2016,Levante,2,4,0,0,Rayo Vallecano,1,1,0,0,Mario Melero Lopez,5.55,0.21,Ciudad de Valencia,"Valencia, Spain",10589
Round 19,10/1/2016,Villarreal,2,4,0,0,Sporting,0,1,0,0,Jesus Gil Manzano,5.27,0.26,Estadio de la Ceramica,"Villarreal, Spain",19000
Round 19,10/1/2016,Real Sociedad,2,3,0,0,Valencia,0,4,0,0,Alejandro Hernandez,5.51,0.27,Reale Arena,"San Sebastian, Spain",24217
Round 19,10/1/2016,Eibar,2,2,0,0,Espanyol,1,1,0,0,Santiago Jaime Latre,5.58,0.22,Ipurua Municipal Stadium,"Eibar, Spain",4587
Round 19,10/1/2016,Las Palmas,1,4,0,0,Málaga,1,4,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Gran Canaria,"Las Palmas de Gran Canaria, Spain",21760
Round 19,10/1/2016,Celta,0,2,0,0,Atl. Madrid,2,0,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,Municipal de Balaidos,"Vigo, Spain",13550
Round 18,2/1/2016,Espanyol,0,5,0,0,Barcelona,0,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,RCDE Stadium,"Cornella, Spain",28975
Round 18,2/1/2016,Atl. Madrid,1,0,0,0,Levante,0,4,0,0,Carlos Clos Gomez,5.33,0.3,Vicente Calderón,"Madrid, Spain",43417
Round 18,2/1/2016,Málaga,2,4,0,0,Celta,0,2,1,0,Inaki Vicandi Garrido,4.39,0.32,La Rosaleda,"Malaga, Spain",17635
Round 18,3/1/2016,Rayo Vallecano,2,3,0,0,Real Sociedad,2,3,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio de Vallecas,"Madrid, Spain",10756
Round 18,3/1/2016,Granada,2,2,0,0,Sevilla,1,2,0,1,Alberto Undiano,4.53,0.14,Estadio Nuevo Los Carmenes,"Granada, Spain",13469
Round 18,3/1/2016,Betis,0,4,0,0,Eibar,4,3,0,0,Eduardo Prieto Iglesias,4.81,0.21,Benito Villamarin,"Seville, Spain",33609
Round 18,3/1/2016,Athletic Club,2,3,0,0,Las Palmas,2,4,0,0,Carlos Del Cerro Grande,4.81,0.22,San Mamés,"Bilbao, Spain",41474
Round 18,3/1/2016,Deportivo,1,3,0,0,Villarreal,2,3,0,0,David Fernandez Borbalan,5.63,0.31,Riazor,"La Coruna, Spain",23815
Round 18,3/1/2016,Valencia,2,1,0,0,Real Madrid,2,1,1,0,Jose Maria Sanchez Martinez,5.74,0.28,Mestalla,"Valencia, Spain",47185
Round 18,4/1/2016,Sporting,1,3,0,0,Getafe,2,3,0,0,Javier Estrada Fernandez,5.38,0.25,El Molinón,"Gijon, Spain",
Round 17,30/12/15,Levante,0,7,0,0,Málaga,1,5,0,0,Jesus Gil Manzano,5.27,0.26,Ciudad de Valencia,"Valencia, Spain",12094
Round 17,30/12/15,Real Madrid,3,1,0,0,Real Sociedad,1,4,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Santiago Bernabéu,"Madrid, Spain",69896
Round 17,30/12/15,Rayo Vallecano,0,3,0,0,Atl. Madrid,2,3,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Estadio de Vallecas,"Madrid, Spain",12315
Round 17,30/12/15,Sevilla,2,3,0,0,Espanyol,0,3,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Ramón Sánchez Pizjuán,"Seville, Spain",35544
Round 17,30/12/15,Eibar,2,3,0,0,Sporting,0,3,0,0,Carlos Velasco Carballo,5.42,0.29,Ipurua Municipal Stadium,"Eibar, Spain",5471
Round 17,30/12/15,Barcelona,4,1,0,0,Betis,0,3,0,0,Inaki Vicandi Garrido,4.39,0.32,Spotify Camp Nou,"Barcelona, Spain",83630
Round 17,30/12/15,Celta,0,3,0,0,Athletic Club,1,4,0,0,Pedro Jesus Perez Montero,5.26,0.25,Municipal de Balaidos,"Vigo, Spain",19092
Round 17,30/12/15,Getafe,0,3,0,0,Deportivo,0,1,0,0,Alberto Undiano,4.53,0.14,Coliseum Alfonso Pérez,"Getafe, Spain",5667
Round 17,30/12/15,Las Palmas,4,2,0,0,Granada,1,6,0,1,Santiago Jaime Latre,5.58,0.22,Gran Canaria,"Las Palmas de Gran Canaria, Spain",18973
Round 17,31/12/15,Villarreal,1,1,0,0,Valencia,0,3,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio de la Ceramica,"Villarreal, Spain",18526
Round 16,19/12/15,Valencia,2,2,0,0,Getafe,2,6,0,0,David Fernandez Borbalan,5.63,0.31,Mestalla,"Valencia, Spain",31598
Round 16,19/12/15,Espanyol,1,4,0,0,Las Palmas,0,4,0,0,Mario Melero Lopez,5.55,0.21,RCDE Stadium,"Cornella, Spain",17121
Round 16,19/12/15,Betis,0,7,0,0,Sevilla,0,5,0,0,Carlos Clos Gomez,5.33,0.3,Benito Villamarin,"Seville, Spain",50073
Round 16,19/12/15,Deportivo,2,1,0,1,Eibar,0,2,0,0,Javier Estrada Fernandez,5.38,0.25,Riazor,"La Coruna, Spain",19281
Round 16,20/12/15,Real Madrid,10,1,0,0,Rayo Vallecano,2,3,1,1,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",61567
Round 16,20/12/15,Athletic Club,2,0,0,0,Levante,0,5,0,0,Alejandro Hernandez,5.51,0.27,San Mamés,"Bilbao, Spain",39380
Round 16,20/12/15,Granada,0,4,0,0,Celta,2,2,0,0,Juan Martinez Munuera,4.9,0.19,Estadio Nuevo Los Carmenes,"Granada, Spain",14537
Round 16,20/12/15,Real Sociedad,0,2,0,0,Villarreal,2,1,0,0,Carlos Del Cerro Grande,4.81,0.22,Reale Arena,"San Sebastian, Spain",21949
Round 16,20/12/15,Málaga,1,3,0,0,Atl. Madrid,0,5,0,1,Antonio Mateu Lahoz,5.18,0.22,La Rosaleda,"Malaga, Spain",19086
Round 16,17/02/16,Sporting,1,2,0,0,Barcelona,3,1,0,0,Ricardo De Burgos Bengoetxea,4.96,0.17,El Molinón,"Gijon, Spain",28140
Round 15,11/12/2015,Getafe,1,3,0,0,Real Sociedad,1,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Coliseum Alfonso Pérez,"Getafe, Spain",5567
Round 15,12/12/2015,Barcelona,2,0,0,0,Deportivo,2,2,0,0,Jose Maria Sanchez Martinez,5.74,0.28,Spotify Camp Nou,"Barcelona, Spain",67194
Round 15,12/12/2015,Celta,1,4,0,1,Espanyol,0,2,0,0,David Fernandez Borbalan,5.63,0.31,Municipal de Balaidos,"Vigo, Spain",17154
Round 15,12/12/2015,Levante,1,2,0,0,Granada,2,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Ciudad de Valencia,"Valencia, Spain",12466
Round 15,12/12/2015,Sevilla,2,3,0,0,Sporting,0,3,0,1,Carlos Del Cerro Grande,4.81,0.22,Ramón Sánchez Pizjuán,"Seville, Spain",35000
Round 15,12/12/2015,Las Palmas,1,3,0,0,Betis,0,0,0,0,Jesus Gil Manzano,5.27,0.26,Gran Canaria,"Las Palmas de Gran Canaria, Spain",16762
Round 15,13/12/15,Rayo Vallecano,1,1,0,0,Málaga,2,2,0,0,Carlos Clos Gomez,5.33,0.3,Estadio de Vallecas,"Madrid, Spain",9423
Round 15,13/12/15,Eibar,1,4,1,0,Valencia,1,4,1,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ipurua Municipal Stadium,"Eibar, Spain",5182
Round 15,13/12/15,Atl. Madrid,2,1,0,0,Athletic Club,1,1,0,0,Juan Martinez Munuera,4.9,0.19,Vicente Calderón,"Madrid, Spain",50137
Round 15,13/12/15,Villarreal,1,2,0,0,Real Madrid,0,2,0,0,Alberto Undiano,4.53,0.14,Estadio de la Ceramica,"Villarreal, Spain",20468
Round 14,5/12/2015,Real Madrid,4,1,0,0,Getafe,1,0,0,0,Antonio Mateu Lahoz,5.18,0.22,Santiago Bernabéu,"Madrid, Spain",64897
