AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
21,56%,57,15,13,141,19,Villarreal,23/01/21,12,44%,52,9,15,146,19,Huesca,Round 20
12,20%,45,6,13,115,14,Cádiz,23/01/21,13,80%,40,12,5,123,8,Sevilla,Round 20
14,47%,46,13,13,124,11,Betis,23/01/21,23,53%,61,14,6,133,17,Real Sociedad,Round 20
11,61%,63,7,12,98,14,Real Madrid,23/01/21,7,39%,32,16,11,106,9,Alavés,Round 20
17,51%,46,15,6,159,9,Granada,24/01/21,28,49%,57,15,10,152,15,Osasuna,Round 20
5,65%,55,9,8,103,17,Barcelona,24/01/21,3,35%,28,15,10,102,10,Elche,Round 20
28,44%,61,16,16,165,15,Eibar,24/01/21,26,56%,64,10,6,155,20,Celta,Round 20
17,51%,55,14,8,130,13,Valencia,24/01/21,11,49%,45,11,12,121,13,Atl. Madrid,Round 20
15,48%,49,18,13,150,17,Getafe,25/01/21,24,52%,66,13,3,151,18,Athletic Club,Round 20
6,32%,30,9,7,101,7,Athletic Club,15/12/20,11,68%,37,8,8,100,10,Real Madrid,Round 19
15,46%,62,14,9,134,14,Real Sociedad,16/12/20,17,54%,65,18,2,124,24,Barcelona,Round 19
20,70%,54,11,6,135,12,Levante,19/01/21,17,30%,48,13,10,127,13,Cádiz,Round 19
7,38%,42,19,11,124,12,Elche,19/01/21,12,62%,63,14,3,123,26,Real Valladolid,Round 19
26,63%,56,14,7,143,6,Sevilla,19/01/21,23,37%,45,15,8,147,7,Alavés,Round 19
20,52%,57,14,15,164,19,Huesca,20/01/21,19,48%,54,15,7,160,15,Getafe,Round 19
15,58%,53,16,12,131,23,Celta,20/01/21,16,42%,57,13,18,144,8,Betis,Round 19
13,31%,41,11,14,124,12,Granada,20/01/21,18,69%,51,11,7,125,13,Villarreal,Round 19
24,36%,48,17,10,123,9,Osasuna,21/01/21,20,64%,56,8,3,145,9,Valencia,Round 19
22,65%,67,9,15,168,16,Atl. Madrid,21/01/21,23,35%,48,24,7,181,17,Eibar,Round 19
11,43%,53,18,13,112,11,Villarreal,8/1/2021,11,57%,51,15,9,108,20,Celta,Round 18
13,40%,48,18,9,126,19,Real Sociedad,9/1/2021,15,60%,52,8,11,141,11,Sevilla,Round 18
