Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 36,5/5/2018,Athletic Club,2,0,0,0,Betis,0,2,0,0,Javier Alberola Rojas,3.7,0.15,San Mamés,"Bilbao, Spain",34491
Round 36,5/5/2018,Celta,1,4,0,0,Deportivo,1,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Municipal de Balaidos,"Vigo, Spain",20816
Round 36,5/5/2018,Villarreal,1,5,0,0,Valencia,0,3,0,0,Jesus Gil Manzano,5.27,0.26,Estadio de la Ceramica,"Villarreal, Spain",19079
Round 36,6/5/2018,Málaga,0,2,0,0,Alavés,3,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,La Rosaleda,"Malaga, Spain",14024
Round 36,6/5/2018,Atl. Madrid,0,1,0,0,Espanyol,2,3,0,0,José Luis Munuera Montero,4.75,0.37,Cívitas Metropolitano,"Madrid, Spain",49834
Round 36,6/5/2018,Las Palmas,0,0,0,0,Getafe,1,2,0,0,Alberto Undiano,4.53,0.14,Gran Canaria,"Las Palmas de Gran Canaria, Spain",4624
Round 36,6/5/2018,Barcelona,2,3,1,0,Real Madrid,2,5,0,0,Alejandro Hernandez,5.51,0.27,Spotify Camp Nou,"Barcelona, Spain",97939
Round 36,7/5/2018,Leganés,0,5,1,0,Levante,3,1,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Estadio Municipal de Butarque,"Leganes, Spain",7832
Round 35,27/04/18,Levante,2,1,0,0,Sevilla,1,1,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ciudad de Valencia,"Valencia, Spain",17240
Round 35,28/04/18,Espanyol,1,2,0,0,Las Palmas,1,4,0,0,Pablo Gonzales Fuertes,5.91,0.37,RCDE Stadium,"Cornella, Spain",13589
Round 35,28/04/18,Real Sociedad,3,3,1,0,Athletic Club,1,6,0,0,Jose Maria Sanchez Martinez,5.75,0.27,Reale Arena,"San Sebastian, Spain",23972
Round 35,28/04/18,Real Madrid,2,0,0,0,Leganés,1,1,1,0,Ignacio Iglesias Villanueva,5.62,0.35,Santiago Bernabéu,"Madrid, Spain",59905
Round 35,28/04/18,Villarreal,4,2,0,0,Celta,1,0,0,0,Javier Alberola Rojas,3.7,0.15,Estadio de la Ceramica,"Villarreal, Spain",14135
Round 35,29/04/18,Getafe,1,6,1,0,Girona,1,4,0,0,Alejandro Hernandez,5.51,0.27,Coliseum Alfonso Pérez,"Getafe, Spain",8011
Round 35,29/04/18,Alavés,0,5,0,0,Atl. Madrid,1,5,0,1,David Fernandez Borbalan,5.63,0.31,Estadio de Mendizorroza,"Vitoria-Gasteiz, Spain",18944
