Round,Date,HomeTeam,HomeGoals,HomeYellows,HomeReds,HomeSecondYellows,AwayTeam,AwayGoals,AwayYellows,AwayReds,AwaySecondYellows,Referee,RefereeYellows,RefereeReds,Stadium,Location,Attendance
Round 14,7/12/2014,Rayo Vallecano,0,4,0,0,Sevilla,1,7,0,1,Alfonso Alvarez Izquierdo,5.72,0.36,Estadio de Vallecas,"Madrid, Spain",11604
Round 14,7/12/2014,Barcelona,5,0,0,0,Espanyol,1,4,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Spotify Camp Nou,"Barcelona, Spain",76057
Round 14,7/12/2014,Villarreal,4,2,0,0,Real Sociedad,0,2,0,0,Fernando Teixeira Vitienes,5.79,0.44,Estadio de la Ceramica,"Villarreal, Spain",16000
Round 14,7/12/2014,Granada,1,4,0,0,Valencia,1,4,1,0,Alejandro Hernandez,5.51,0.27,Estadio Nuevo Los Carmenes,"Granada, Spain",15638
Round 14,8/12/2014,Eibar,5,4,0,0,Almería,2,3,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Ipurua Municipal Stadium,"Eibar, Spain",4200
Round 14,8/12/2014,Levante,1,3,0,0,Getafe,1,4,0,0,Mario Melero Lopez,5.55,0.21,Ciudad de Valencia,"Valencia, Spain",13582
Round 13,28/11/14,Real Sociedad,3,2,0,0,Elche,0,4,0,0,Carlos Velasco Carballo,5.42,0.29,Reale Arena,"San Sebastian, Spain",22928
Round 13,29/11/14,Getafe,1,7,0,0,Athletic Club,2,5,0,0,Alfonso Alvarez Izquierdo,5.72,0.36,Coliseum Alfonso Pérez,"Getafe, Spain",6000
Round 13,29/11/14,Espanyol,2,2,0,0,Levante,1,3,0,0,Carlos Del Cerro Grande,4.81,0.22,RCDE Stadium,"Cornella, Spain",12723
Round 13,29/11/14,Málaga,1,2,0,0,Real Madrid,2,2,0,1,Inaki Vicandi Garrido,4.39,0.32,La Rosaleda,"Malaga, Spain",29025
Round 13,29/11/14,Celta,0,4,0,0,Eibar,1,5,0,0,Pedro Jesus Perez Montero,5.26,0.25,Municipal de Balaidos,"Vigo, Spain",16799
Round 13,30/11/14,Atl. Madrid,2,2,0,0,Deportivo,0,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Vicente Calderón,"Madrid, Spain",45000
Round 13,30/11/14,Sevilla,5,1,0,0,Granada,1,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ramón Sánchez Pizjuán,"Seville, Spain",30347
Round 13,30/11/14,Córdoba,0,3,0,0,Villarreal,2,2,0,0,Javier Estrada Fernandez,5.38,0.25,Estadio Nuevo Arcángel,"Cordoba, Spain",15998
Round 13,30/11/14,Valencia,0,4,0,0,Barcelona,1,4,0,0,David Fernandez Borbalan,5.63,0.31,Mestalla,"Valencia, Spain",38000
Round 13,1/12/2014,Almería,0,4,0,0,Rayo Vallecano,1,4,0,0,Antonio Mateu Lahoz,5.18,0.22,Estadio del Mediterráneo,"Almeria, Spain",9121
Round 12,21/11/14,Athletic Club,3,1,0,0,Espanyol,1,4,0,0,Mario Melero Lopez,5.55,0.21,San Mamés,"Bilbao, Spain",28000
Round 12,22/11/14,Atl. Madrid,3,2,0,1,Málaga,1,4,0,1,Fernando Teixeira Vitienes,5.79,0.44,Vicente Calderón,"Madrid, Spain",44200
Round 12,22/11/14,Eibar,0,4,0,0,Real Madrid,4,2,0,0,David Fernandez Borbalan,5.63,0.31,Ipurua Municipal Stadium,"Eibar, Spain",5859
Round 12,22/11/14,Barcelona,5,1,0,0,Sevilla,1,2,0,0,Juan Martinez Munuera,4.9,0.19,Spotify Camp Nou,"Barcelona, Spain",78283
Round 12,22/11/14,Deportivo,0,3,0,0,Real Sociedad,0,1,0,0,Eduardo Prieto Iglesias,4.81,0.21,Riazor,"La Coruna, Spain",18521
Round 12,23/11/14,Rayo Vallecano,1,6,0,0,Celta,0,4,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio de Vallecas,"Madrid, Spain",11321
Round 12,23/11/14,Levante,2,2,0,0,Valencia,1,1,0,0,Inaki Vicandi Garrido,4.39,0.32,Ciudad de Valencia,"Valencia, Spain",22012
Round 12,23/11/14,Elche,2,3,0,0,Córdoba,2,4,0,0,Alejandro Hernandez,5.51,0.27,Estadio Martínez Valero,"Elche, Spain",22636
Round 12,23/11/14,Villarreal,2,3,0,0,Getafe,1,2,0,0,Santiago Jaime Latre,5.58,0.22,Estadio de la Ceramica,"Villarreal, Spain",19500
Round 12,24/11/14,Granada,0,4,0,0,Almería,0,1,0,1,Ignacio Iglesias Villanueva,5.62,0.35,Estadio Nuevo Los Carmenes,"Granada, Spain",16957
Round 11,7/11/2014,Córdoba,0,4,0,0,Deportivo,0,1,0,1,Antonio Mateu Lahoz,5.18,0.22,Estadio Nuevo Arcángel,"Cordoba, Spain",15643
Round 11,8/11/2014,Almería,1,2,0,0,Barcelona,2,0,0,0,Alberto Undiano,4.53,0.14,Estadio del Mediterráneo,"Almeria, Spain",12606
Round 11,8/11/2014,Getafe,0,1,0,0,Elche,0,3,0,0,David Fernandez Borbalan,5.63,0.31,Coliseum Alfonso Pérez,"Getafe, Spain",6000
Round 11,8/11/2014,Real Madrid,5,0,0,0,Rayo Vallecano,1,4,0,0,Pedro Jesus Perez Montero,5.26,0.25,Santiago Bernabéu,"Madrid, Spain",76842
Round 11,8/11/2014,Celta,0,1,0,0,Granada,0,4,0,0,Javier Estrada Fernandez,5.38,0.25,Municipal de Balaidos,"Vigo, Spain",16963
Round 11,8/11/2014,Málaga,2,3,0,0,Eibar,1,3,0,1,Juan Martinez Munuera,4.9,0.19,La Rosaleda,"Malaga, Spain",22600
Round 11,9/11/2014,Sevilla,1,2,0,0,Levante,1,6,0,0,Carlos Velasco Carballo,5.42,0.29,Ramón Sánchez Pizjuán,"Seville, Spain",28500
Round 11,9/11/2014,Espanyol,1,3,0,0,Villarreal,1,3,0,0,Jesus Gil Manzano,5.27,0.26,RCDE Stadium,"Cornella, Spain",22000
Round 11,9/11/2014,Valencia,0,0,0,0,Athletic Club,0,2,0,0,Carlos Del Cerro Grande,4.81,0.22,Mestalla,"Valencia, Spain",39600
Round 11,9/11/2014,Real Sociedad,2,2,0,0,Atl. Madrid,1,7,0,1,Alfonso Alvarez Izquierdo,5.72,0.36,Reale Arena,"San Sebastian, Spain",22768
Round 10,31/10/14,Deportivo,1,2,0,0,Getafe,2,1,0,0,Alejandro Hernandez,5.51,0.27,Riazor,"La Coruna, Spain",
Round 10,1/11/2014,Granada,0,1,0,0,Real Madrid,4,2,0,0,Jose Luis Gonzalez Gonzalez,4.82,0.22,Estadio Nuevo Los Carmenes,"Granada, Spain",18939
Round 10,1/11/2014,Atl. Madrid,4,0,0,0,Córdoba,2,2,0,0,Carlos Clos Gomez,5.33,0.3,Vicente Calderón,"Madrid, Spain",50081
Round 10,1/11/2014,Barcelona,0,1,0,0,Celta,1,2,0,0,Inaki Vicandi Garrido,4.39,0.32,Spotify Camp Nou,"Barcelona, Spain",71468
Round 10,1/11/2014,Real Sociedad,0,2,0,0,Málaga,1,5,0,0,Santiago Jaime Latre,5.58,0.22,Reale Arena,"San Sebastian, Spain",21086
Round 10,2/11/2014,Athletic Club,1,4,0,0,Sevilla,0,3,0,0,Javier Estrada Fernandez,5.38,0.25,San Mamés,"Bilbao, Spain",42000
Round 10,2/11/2014,Villarreal,1,2,0,0,Valencia,3,3,0,0,Pedro Jesus Perez Montero,5.26,0.25,Estadio de la Ceramica,"Villarreal, Spain",23000
Round 10,2/11/2014,Levante,2,3,0,0,Almería,1,2,0,0,Eduardo Prieto Iglesias,4.81,0.21,Ciudad de Valencia,"Valencia, Spain",
Round 10,2/11/2014,Elche,2,4,0,2,Espanyol,1,2,0,0,Jose Antonio Teixeira Vitienes,6.56,0.44,Estadio Martínez Valero,"Elche, Spain",21472
Round 10,3/11/2014,Rayo Vallecano,2,1,0,0,Eibar,3,2,0,0,Ignacio Iglesias Villanueva,5.62,0.35,Estadio de Vallecas,"Madrid, Spain",10625
Round 9,24/10/14,Celta,3,0,0,0,Levante,0,3,0,0,Fernando Teixeira Vitienes,5.79,0.44,Municipal de Balaidos,"Vigo, Spain",19231
Round 9,25/10/14,Almería,0,2,0,0,Athletic Club,1,1,0,0,Juan Martinez Munuera,4.9,0.19,Estadio del Mediterráneo,"Almeria, Spain",12000
Round 9,25/10/14,Real Madrid,3,2,0,0,Barcelona,1,4,0,0,Jesus Gil Manzano,5.27,0.26,Santiago Bernabéu,"Madrid, Spain",85450
Round 9,25/10/14,Valencia,3,0,0,0,Elche,1,2,0,0,Alberto Undiano,4.53,0.14,Mestalla,"Valencia, Spain",42783
