AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
6,53%,66,13,8,137,31,Atl. Madrid,12/2/2023,10,47%,61,10,13,132,24,Celta,Round 21
30,50%,68,16,4,133,15,Osasuna,12/2/2023,10,50%,51,13,15,128,13,Real Valladolid,Round 21
13,46%,59,18,15,124,13,Barcelona,12/2/2023,11,54%,50,22,13,137,13,Villarreal,Round 21
16,56%,51,17,5,143,15,Real Sociedad,13/02/23,20,44%,66,9,8,137,21,Espanyol,Round 21
7,28%,34,13,8,108,14,Elche,15/02/23,18,72%,63,5,3,111,14,Real Madrid,Round 21
15,58%,53,12,9,126,16,Cádiz,3/2/2023,14,42%,37,14,9,111,5,Athletic Club,Round 20
31,60%,55,17,6,150,10,Osasuna,4/2/2023,20,40%,62,9,7,133,16,Espanyol,Round 20
9,72%,65,8,1,129,19,Villarreal,4/2/2023,8,28%,53,19,12,103,30,Elche,Round 20
17,37%,51,18,13,156,18,Getafe,4/2/2023,26,63%,56,11,8,177,9,Atl. Madrid,Round 20
14,45%,57,13,8,138,24,Celta,4/2/2023,13,55%,49,11,12,136,16,Betis,Round 20
16,74%,74,14,11,111,14,Real Madrid,5/2/2023,11,26%,55,29,7,105,21,Mallorca,Round 20
10,48%,41,10,5,108,17,Valencia,5/2/2023,16,52%,38,11,8,106,11,Girona,Round 20
11,45%,64,14,14,142,29,Real Valladolid,5/2/2023,24,55%,59,17,7,141,15,Real Sociedad,Round 20
12,35%,45,10,8,111,20,Sevilla,5/2/2023,16,65%,52,8,6,123,13,Barcelona,Round 20
19,51%,66,9,14,176,23,Almería,6/2/2023,16,49%,55,16,10,170,20,Rayo Vallecano,Round 20
20,43%,58,6,5,150,18,Espanyol,27/01/23,10,57%,36,16,6,150,13,Almería,Round 19
30,58%,64,12,2,157,12,Mallorca,28/01/23,19,42%,50,13,6,159,16,Cádiz,Round 19
6,60%,40,15,5,125,19,Barcelona,28/01/23,9,40%,47,10,9,124,12,Girona,Round 19
8,19%,38,8,6,116,19,Elche,28/01/23,6,81%,39,7,5,114,23,Sevilla,Round 19
18,62%,59,12,11,141,10,Betis,28/01/23,9,38%,39,25,10,142,15,Getafe,Round 19
15,47%,55,15,8,139,17,Valencia,29/01/23,16,53%,60,14,6,133,21,Real Valladolid,Round 19
16,48%,51,7,3,132,15,Atl. Madrid,29/01/23,10,52%,39,13,7,141,11,Osasuna,Round 19
9,51%,45,19,9,153,16,Athletic Club,29/01/23,15,49%,52,17,9,152,16,Celta,Round 19
6,39%,45,19,13,109,24,Real Sociedad,29/01/23,9,61%,70,8,6,131,17,Real Madrid,Round 19
11,38%,46,18,12,136,20,Rayo Vallecano,30/01/23,9,62%,52,11,5,153,21,Villarreal,Round 19
11,58%,45,11,6,138,15,Celta,20/01/23,19,42%,42,15,9,143,8,Mallorca,Round 18
17,46%,53,11,12,166,22,Real Sociedad,21/01/23,19,54%,57,11,13,186,18,Rayo Vallecano,Round 18
14,70%,49,8,7,121,12,Betis,21/01/23,19,30%,42,18,8,126,15,Espanyol,Round 18
8,53%,48,7,13,129,21,Real Valladolid,21/01/23,15,47%,39,12,11,128,13,Atl. Madrid,Round 18
7,25%,42,14,9,132,20,Cádiz,21/01/23,15,75%,55,15,1,146,23,Sevilla,Round 18
8,31%,48,15,4,126,13,Girona,22/01/23,6,69%,44,21,5,114,17,Villarreal,Round 18
12,58%,46,9,6,167,16,Osasuna,22/01/23,18,42%,53,19,3,175,15,Elche,Round 18
18,32%,48,6,9,131,15,Getafe,22/01/23,13,68%,44,11,5,146,16,Barcelona,Round 18
13,50%,51,10,10,111,14,Real Madrid,22/01/23,9,50%,46,17,7,136,20,Athletic Club,Round 18
9,43%,37,8,12,157,19,Almería,23/01/23,9,57%,42,8,5,161,20,Valencia,Round 18
8,49%,41,8,12,116,12,Villarreal,13/01/23,6,51%,33,11,7,115,15,Celta,Round 17
15,55%,59,18,8,158,24,Rayo Vallecano,14/01/23,14,45%,64,17,8,159,25,Real Valladolid,Round 17
6,54%,40,7,10,114,20,Sevilla,14/01/23,6,46%,37,11,8,109,19,Girona,Round 17
11,38%,48,19,4,145,20,Mallorca,14/01/23,14,62%,54,15,6,136,15,Osasuna,Round 17
-1,-1,-1,-1,-1,-1,-1,Athletic Club,14/01/23,-1,-1,-1,-1,-1,-1,-1,Real Sociedad,Round 17
23,38%,58,13,14,142,12,Espanyol,15/01/23,20,62%,45,20,11,167,9,Getafe,Round 17
-1,-1,-1,-1,-1,-1,-1,Atl. Madrid,15/01/23,-1,-1,-1,-1,-1,-1,-1,Almería,Round 17
16,50%,45,21,9,151,14,Elche,16/01/23,15,50%,61,11,6,153,18,Cádiz,Round 17
12,64%,63,9,7,131,23,Barcelona,1/2/2023,12,36%,54,17,8,137,23,Betis,Round 17
4,29%,44,17,8,102,22,Valencia,2/2/2023,8,71%,55,12,9,105,16,Real Madrid,Round 17
17,43%,56,15,13,152,20,Celta,6/1/2023,21,57%,54,15,8,193,13,Elche,Round 16
25,26%,61,21,6,131,18,Cádiz,6/1/2023,17,74%,69,14,7,156,25,Valencia,Round 16
7,51%,39,6,5,107,16,Real Madrid,7/1/2023,3,49%,36,13,15,106,16,Villarreal,Round 16
18,58%,51,17,9,144,14,Real Valladolid,7/1/2023,23,42%,65,14,6,140,23,Mallorca,Round 16
18,56%,53,16,3,119,13,Girona,7/1/2023,16,44%,56,13,7,128,17,Espanyol,Round 16
13,56%,56,14,3,138,23,Real Sociedad,8/1/2023,11,44%,50,13,6,133,19,Almería,Round 16
12,38%,54,16,10,137,23,Betis,8/1/2023,12,62%,49,10,6,156,18,Rayo Vallecano,Round 16
14,42%,48,16,8,140,13,Getafe,8/1/2023,17,58%,53,13,6,141,13,Sevilla,Round 16
13,59%,51,16,13,145,22,Barcelona,8/1/2023,11,41%,56,8,14,156,24,Atl. Madrid,Round 16
20,40%,50,13,11,178,19,Osasuna,9/1/2023,20,60%,54,8,8,183,16,Athletic Club,Round 16
8,40%,42,14,8,121,18,Rayo Vallecano,29/12/22,19,60%,52,14,9,137,15,Girona,Round 15
13,47%,49,17,15,154,24,Athletic Club,29/12/22,9,53%,50,8,7,157,19,Betis,Round 15
-1,-1,-1,-1,-1,-1,-1,Elche,29/12/22,-1,-1,-1,-1,-1,-1,-1,Atl. Madrid,Round 15
20,44%,47,19,3,155,13,Mallorca,30/12/22,19,56%,52,10,7,155,11,Getafe,Round 15
15,51%,47,14,8,140,16,Almería,30/12/22,10,49%,45,7,5,150,20,Cádiz,Round 15
10,56%,39,13,14,146,15,Sevilla,30/12/22,11,44%,44,11,14,127,14,Celta,Round 15
5,61%,27,9,6,118,10,Real Madrid,30/12/22,4,39%,41,7,10,100,20,Real Valladolid,Round 15
16,22%,46,15,6,98,17,Espanyol,31/12/22,14,78%,47,11,3,98,11,Barcelona,Round 15
12,49%,51,15,9,168,27,Osasuna,31/12/22,30,51%,63,10,15,162,13,Real Sociedad,Round 15
9,47%,54,16,11,121,28,Valencia,31/12/22,10,53%,48,12,9,122,14,Villarreal,Round 15
7,55%,39,9,5,125,12,Girona,8/11/2022,11,45%,47,16,5,121,23,Elche,Round 14
8,57%,56,6,10,143,21,Real Valladolid,8/11/2022,7,43%,29,21,14,138,10,Athletic Club,Round 14
13,53%,46,6,3,128,12,Barcelona,8/11/2022,12,47%,33,15,5,127,10,Osasuna,Round 14
20,45%,57,8,11,150,13,Getafe,9/11/2022,13,55%,36,17,12,150,10,Almería,Round 14
10,68%,41,12,9,111,17,Real Sociedad,9/11/2022,5,32%,34,9,4,121,12,Sevilla,Round 14
9,56%,38,6,5,103,13,Villarreal,9/11/2022,5,44%,35,11,6,106,18,Espanyol,Round 14
17,63%,55,17,5,143,19,Atl. Madrid,9/11/2022,11,37%,46,14,11,126,13,Mallorca,Round 14
12,42%,69,16,6,144,31,Celta,10/11/2022,10,58%,51,19,5,154,22,Rayo Vallecano,Round 14
5,38%,40,9,6,133,19,Betis,10/11/2022,10,62%,44,12,3,120,14,Valencia,Round 14
5,33%,29,16,6,114,10,Cádiz,10/11/2022,14,67%,62,12,4,115,20,Real Madrid,Round 14
